Group,Chunk Index,Chunk Text,User Story,Coverage,Score,Similarity
A,4,"Clients:
- Individuals looking for travel services, including tickets, accommodation, and tourist activities","As a customer, I want to search for travel options, including flights, hotels, and tourist tours, To find the best options that meet my needs and preferences.",Partially covered,1,0.6099307537078857
A,14,- View itineraries and travel vouchers,"As a customer, I want to view available itineraries and travel vouchers, So I can plan and book my trips without any issues.",Fully covered,1,0.8367441892623901
A,21,"Itinerary and Voucher Viewing:
- Clients must be able to view their travel itineraries, including details about tickets, accommodations, and tours, as well as access and print travel vouchers for each booked service","As a customer, I want to view available itineraries and travel vouchers, So I can plan and book my trips without any issues.",Partially covered,1,0.8263075351715088
A,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a customer, I want to view available itineraries and travel vouchers, So I can plan and book my trips without any issues.",Not covered,0,0.6075183749198914
A,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a customer, I want to view available itineraries and travel vouchers, So I can plan and book my trips without any issues.",Partially covered,1,0.5863692760467529
A,6,- Search for and suggest travel options based on the client's preferences and budget,"As a customer, I want to view available itineraries and travel vouchers, So I can plan and book my trips without any issues.",Not covered,0,0.5531741380691528
A,9,"- Organize city tour packages, including transportation and tour guides if necessary","As a travel agent from ""Roteiros & Aventuras"" I want to organize tour packages in tourist cities, including transportation and tour guides, To provide clients with a complete and well-organized experience.",Fully covered,1,0.8336031436920166
A,18,"Service Booking:
- Travel agents must be able to issue airline, land, and river tickets, make hotel reservations (including room selection and dates), and organize city tour packages as requested by clients","As a travel agent from ""Roteiros & Aventuras"" I want to organize tour packages in tourist cities, including transportation and tour guides, To provide clients with a complete and well-organized experience.",Partially covered,1,0.6290117502212524
A,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent from ""Roteiros & Aventuras"" I want to organize tour packages in tourist cities, including transportation and tour guides, To provide clients with a complete and well-organized experience.",Partially covered,1,0.6241532564163208
A,0,"Complete Scenario: Travel Agency

Context:
The travel agency ""Roteiros & Aventuras"" is a well-established company located in a busy tourist city","As a travel agent from ""Roteiros & Aventuras"" I want to organize tour packages in tourist cities, including transportation and tour guides, To provide clients with a complete and well-organized experience.",Partially covered,1,0.6164993643760681
A,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a travel agent from ""Roteiros & Aventuras"" I want to organize tour packages in tourist cities, including transportation and tour guides, To provide clients with a complete and well-organized experience.",Not covered,0,0.5931491851806641
A,8,"- Make hotel reservations, including room selection and dates","As a travel agent from ""Roteiros & Aventuras"", I want to make hotel reservations, including selecting rooms and dates, to ensure that clients have the ideal accommodation during their trips.",Fully covered,1,0.8836085200309753
A,18,"Service Booking:
- Travel agents must be able to issue airline, land, and river tickets, make hotel reservations (including room selection and dates), and organize city tour packages as requested by clients","As a travel agent from ""Roteiros & Aventuras"", I want to make hotel reservations, including selecting rooms and dates, to ensure that clients have the ideal accommodation during their trips.",Partially covered,1,0.6652891039848328
A,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a travel agent from ""Roteiros & Aventuras"", I want to make hotel reservations, including selecting rooms and dates, to ensure that clients have the ideal accommodation during their trips.",Not covered,0,0.6122986674308777
A,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent from ""Roteiros & Aventuras"", I want to make hotel reservations, including selecting rooms and dates, to ensure that clients have the ideal accommodation during their trips.",Partially covered,1,0.5851720571517944
A,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a travel agent from ""Roteiros & Aventuras"", I want to make hotel reservations, including selecting rooms and dates, to ensure that clients have the ideal accommodation during their trips.",Not covered,0,0.5732690691947937
A,19,"Payment and Documentation Management:
- The system must enable travel agents to manage payments for services contracted by clients and maintain the necessary documentation for each booking, such as receipts, vouchers, and itineraries","As a travel agent from ""Roteiros & Aventuras"", I want to manage payments and documentation related to the services contracted by clients, to ensure that all transactions and documents are correctly recorded and available.",Fully covered,1,0.8434765338897705
A,10,- Manage payments and travel-related documentation,"As a travel agent from ""Roteiros & Aventuras"", I want to manage payments and documentation related to the services contracted by clients, to ensure that all transactions and documents are correctly recorded and available.",Fully covered,1,0.7472033500671387
A,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent from ""Roteiros & Aventuras"", I want to manage payments and documentation related to the services contracted by clients, to ensure that all transactions and documents are correctly recorded and available.",Not covered,0,0.5436491966247559
A,5,"Actions:

Travel Agents:
- Register new clients and keep their information updated","As a travel agent from ""Roteiros & Aventuras"", I want to manage payments and documentation related to the services contracted by clients, to ensure that all transactions and documents are correctly recorded and available.",Not covered,0,0.5329877138137817
A,16,"Functional Requirements:

Client Registration:
- The system must allow travel agents to register new clients and keep their information updated, including personal data, travel preferences, and booking history","As a travel agent from ""Roteiros & Aventuras"", I want to manage payments and documentation related to the services contracted by clients, to ensure that all transactions and documents are correctly recorded and available.",Not covered,0,0.4936090409755707
B,15,- Communicate with travel agents to ask questions or request modifications,"As a client, I want to communicate with travel agents to ask questions and request changes to my bookings.",Fully covered,1,0.8147000074386597
B,22,"Client-Agent Communication:
- The system must facilitate communication between clients and travel agents, allowing clients to ask questions, request modifications to their reservations, and receive assistance throughout the planning and travel process","As a client, I want to communicate with travel agents to ask questions and request changes to my bookings.",Fully covered,1,0.7610355615615845
B,5,"Actions:

Travel Agents:
- Register new clients and keep their information updated","As a client, I want to communicate with travel agents to ask questions and request changes to my bookings.",Not covered,0,0.6885882019996643
B,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a client, I want to communicate with travel agents to ask questions and request changes to my bookings.",Not covered,0,0.6725542545318604
B,16,"Functional Requirements:

Client Registration:
- The system must allow travel agents to register new clients and keep their information updated, including personal data, travel preferences, and booking history","As a client, I want to communicate with travel agents to ask questions and request changes to my bookings.",Not covered,0,0.6583003997802734
B,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a client, I want to search for travel options to request quotes and make reservations directly through the system.",Fully covered,1,0.8677051067352295
B,12,- Request quotes and make reservations,"As a client, I want to search for travel options to request quotes and make reservations directly through the system.",Fully covered,1,0.6771295666694641
B,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a client, I want to search for travel options to request quotes and make reservations directly through the system.",Partially covered,1,0.6608663201332092
B,17,"Travel Search and Suggestions:
- Travel agents must be able to search for and suggest travel options based on the client's preferences and budget, using criteria such as destinations, travel dates, and transportation types","As a client, I want to search for travel options to request quotes and make reservations directly through the system.",Not covered,0,0.6489311456680298
B,6,- Search for and suggest travel options based on the client's preferences and budget,"As a client, I want to search for travel options to request quotes and make reservations directly through the system.",Not covered,0,0.6233519315719604
B,21,"Itinerary and Voucher Viewing:
- Clients must be able to view their travel itineraries, including details about tickets, accommodations, and tours, as well as access and print travel vouchers for each booked service","As a client, I want to view my travel itineraries to access and print travel vouchers for each booked service.",Partially covered,1,0.8086799383163452
B,14,- View itineraries and travel vouchers,"As a client, I want to view my travel itineraries to access and print travel vouchers for each booked service.",Fully covered,1,0.7482779622077942
B,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a client, I want to view my travel itineraries to access and print travel vouchers for each booked service.",Not covered,0,0.578328013420105
B,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a client, I want to view my travel itineraries to access and print travel vouchers for each booked service.",Not covered,0,0.540160059928894
B,19,"Payment and Documentation Management:
- The system must enable travel agents to manage payments for services contracted by clients and maintain the necessary documentation for each booking, such as receipts, vouchers, and itineraries","As a client, I want to view my travel itineraries to access and print travel vouchers for each booked service.",Not covered,0,0.5386034250259399
B,18,"Service Booking:
- Travel agents must be able to issue airline, land, and river tickets, make hotel reservations (including room selection and dates), and organize city tour packages as requested by clients","As a travel agent, I want to issue tickets and make hotel reservations to complete the travel booking process for clients.",Partially covered,1,0.7626762390136719
B,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent, I want to issue tickets and make hotel reservations to complete the travel booking process for clients.",Partially covered,1,0.6905617713928223
B,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a travel agent, I want to issue tickets and make hotel reservations to complete the travel booking process for clients.",Not covered,0,0.6511889696121216
B,8,"- Make hotel reservations, including room selection and dates","As a travel agent, I want to issue tickets and make hotel reservations to complete the travel booking process for clients.",Partially covered,1,0.6260322332382202
B,22,"Client-Agent Communication:
- The system must facilitate communication between clients and travel agents, allowing clients to ask questions, request modifications to their reservations, and receive assistance throughout the planning and travel process","As a travel agent, I want to issue tickets and make hotel reservations to complete the travel booking process for clients.",Not covered,0,0.6251798868179321
B,19,"Payment and Documentation Management:
- The system must enable travel agents to manage payments for services contracted by clients and maintain the necessary documentation for each booking, such as receipts, vouchers, and itineraries","As a travel agent, I want to manage payments and documentation to ensure that all services contracted by clients are properly recorded and documented.",Partially covered,1,0.8262840509414673
B,10,- Manage payments and travel-related documentation,"As a travel agent, I want to manage payments and documentation to ensure that all services contracted by clients are properly recorded and documented.",Fully covered,1,0.7544255256652832
B,5,"Actions:

Travel Agents:
- Register new clients and keep their information updated","As a travel agent, I want to manage payments and documentation to ensure that all services contracted by clients are properly recorded and documented.",Not covered,0,0.5498180389404297
B,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent, I want to manage payments and documentation to ensure that all services contracted by clients are properly recorded and documented.",Not covered,0,0.5183277130126953
B,16,"Functional Requirements:

Client Registration:
- The system must allow travel agents to register new clients and keep their information updated, including personal data, travel preferences, and booking history","As a travel agent, I want to manage payments and documentation to ensure that all services contracted by clients are properly recorded and documented.",Not covered,0,0.5127948522567749
B,16,"Functional Requirements:

Client Registration:
- The system must allow travel agents to register new clients and keep their information updated, including personal data, travel preferences, and booking history","As a travel agent, I want to register new clients, update their data, and manage their preferences and booking history.",Partially covered,1,0.814741313457489
B,5,"Actions:

Travel Agents:
- Register new clients and keep their information updated","As a travel agent, I want to register new clients, update their data, and manage their preferences and booking history.",Fully covered,1,0.7938425540924072
B,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent, I want to register new clients, update their data, and manage their preferences and booking history.",Partially covered,1,0.65635085105896
B,22,"Client-Agent Communication:
- The system must facilitate communication between clients and travel agents, allowing clients to ask questions, request modifications to their reservations, and receive assistance throughout the planning and travel process","As a travel agent, I want to register new clients, update their data, and manage their preferences and booking history.",Not covered,0,0.6012967824935913
B,18,"Service Booking:
- Travel agents must be able to issue airline, land, and river tickets, make hotel reservations (including room selection and dates), and organize city tour packages as requested by clients","As a travel agent, I want to register new clients, update their data, and manage their preferences and booking history.",Not covered,0,0.593189001083374
B,6,- Search for and suggest travel options based on the client's preferences and budget,"As a travel agent, I want to research and suggest travel options to offer clients choices based on their preferences and budget.",Fully covered,1,0.8881357312202454
B,17,"Travel Search and Suggestions:
- Travel agents must be able to search for and suggest travel options based on the client's preferences and budget, using criteria such as destinations, travel dates, and transportation types","As a travel agent, I want to research and suggest travel options to offer clients choices based on their preferences and budget.",Partially covered,1,0.8619903922080994
B,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a travel agent, I want to research and suggest travel options to offer clients choices based on their preferences and budget.",Not covered,0,0.7319509983062744
B,4,"Clients:
- Individuals looking for travel services, including tickets, accommodation, and tourist activities","As a travel agent, I want to research and suggest travel options to offer clients choices based on their preferences and budget.",Not covered,0,0.6233466863632202
B,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a travel agent, I want to research and suggest travel options to offer clients choices based on their preferences and budget.",Not covered,0,0.6093540191650391
C,15,- Communicate with travel agents to ask questions or request modifications,"As a Customer, I want to communicate with travel agents to ask questions or request changes to my bookings.",Fully covered,1,0.8186289072036743
C,22,"Client-Agent Communication:
- The system must facilitate communication between clients and travel agents, allowing clients to ask questions, request modifications to their reservations, and receive assistance throughout the planning and travel process","As a Customer, I want to communicate with travel agents to ask questions or request changes to my bookings.",Fully covered,1,0.7417149543762207
C,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a Customer, I want to communicate with travel agents to ask questions or request changes to my bookings.",Not covered,0,0.702679455280304
C,5,"Actions:

Travel Agents:
- Register new clients and keep their information updated","As a Customer, I want to communicate with travel agents to ask questions or request changes to my bookings.",Not covered,0,0.6796244382858276
C,18,"Service Booking:
- Travel agents must be able to issue airline, land, and river tickets, make hotel reservations (including room selection and dates), and organize city tour packages as requested by clients","As a Customer, I want to communicate with travel agents to ask questions or request changes to my bookings.",Not covered,0,0.6480367183685303
C,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a Customer, I want to search for travel options, including tickets, hotels, and tourist tours.",Fully covered,1,0.8534122109413147
C,17,"Travel Search and Suggestions:
- Travel agents must be able to search for and suggest travel options based on the client's preferences and budget, using criteria such as destinations, travel dates, and transportation types","As a Customer, I want to search for travel options, including tickets, hotels, and tourist tours.",Not covered,0,0.7335028052330017
C,6,- Search for and suggest travel options based on the client's preferences and budget,"As a Customer, I want to search for travel options, including tickets, hotels, and tourist tours.",Not covered,0,0.7131668329238892
C,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a Customer, I want to search for travel options, including tickets, hotels, and tourist tours.",Partially covered,1,0.6683213710784912
C,4,"Clients:
- Individuals looking for travel services, including tickets, accommodation, and tourist activities","As a Customer, I want to search for travel options, including tickets, hotels, and tourist tours.",Fully covered,1,0.6591609716415405
C,21,"Itinerary and Voucher Viewing:
- Clients must be able to view their travel itineraries, including details about tickets, accommodations, and tours, as well as access and print travel vouchers for each booked service","As a Customer, I want to view my travel itineraries and access vouchers for the booked services.",Fully covered,1,0.8387026786804199
C,14,- View itineraries and travel vouchers,"As a Customer, I want to view my travel itineraries and access vouchers for the booked services.",Fully covered,1,0.8058892488479614
C,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a Customer, I want to view my travel itineraries and access vouchers for the booked services.",Not covered,0,0.620697557926178
C,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a Customer, I want to view my travel itineraries and access vouchers for the booked services.",Not covered,0,0.6169853806495667
C,4,"Clients:
- Individuals looking for travel services, including tickets, accommodation, and tourist activities","As a Customer, I want to view my travel itineraries and access vouchers for the booked services.",Partially covered,1,0.5878068208694458
C,10,- Manage payments and travel-related documentation,"As a Travel Agent, I want to manage payments and travel-related documentation.",Fully covered,1,0.8620420694351196
C,19,"Payment and Documentation Management:
- The system must enable travel agents to manage payments for services contracted by clients and maintain the necessary documentation for each booking, such as receipts, vouchers, and itineraries","As a Travel Agent, I want to manage payments and travel-related documentation.",Fully covered,1,0.8328666687011719
C,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a Travel Agent, I want to manage payments and travel-related documentation.",Partially covered,1,0.5890576839447021
C,5,"Actions:

Travel Agents:
- Register new clients and keep their information updated","As a Travel Agent, I want to manage payments and travel-related documentation.",Not covered,0,0.5239546298980713
C,15,- Communicate with travel agents to ask questions or request modifications,"As a Travel Agent, I want to manage payments and travel-related documentation.",Not covered,0,0.5225321650505066
C,7,"- Issue airline, land, and river tickets","As a travel agent, I want to issue air, land, and river tickets for customers.",Fully covered,1,0.7446035146713257
C,18,"Service Booking:
- Travel agents must be able to issue airline, land, and river tickets, make hotel reservations (including room selection and dates), and organize city tour packages as requested by clients","As a travel agent, I want to issue air, land, and river tickets for customers.",Partially covered,1,0.7066025733947754
C,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent, I want to issue air, land, and river tickets for customers.",Partially covered,1,0.5753646492958069
C,2,"Offering a wide range of services, including the sale of airline, land, and river tickets, hotel reservations, and city tour organization, the agency is looking to implement a management system to optimize its operations and improve customer service","As a travel agent, I want to issue air, land, and river tickets for customers.",Partially covered,1,0.5307375192642212
C,19,"Payment and Documentation Management:
- The system must enable travel agents to manage payments for services contracted by clients and maintain the necessary documentation for each booking, such as receipts, vouchers, and itineraries","As a travel agent, I want to issue air, land, and river tickets for customers.",Not covered,0,0.4994337558746338
C,8,"- Make hotel reservations, including room selection and dates","As a travel agent, I want to make hotel reservations, including room and date selection.",Fully covered,1,0.8970971703529358
C,18,"Service Booking:
- Travel agents must be able to issue airline, land, and river tickets, make hotel reservations (including room selection and dates), and organize city tour packages as requested by clients","As a travel agent, I want to make hotel reservations, including room and date selection.",Partially covered,1,0.692730188369751
C,20,"Client Travel Search and Booking:
- Clients must be able to search for travel options, request quotes, and make reservations directly through the system, using a user-friendly and intuitive interface","As a travel agent, I want to make hotel reservations, including room and date selection.",Not covered,0,0.6026753187179565
C,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent, I want to make hotel reservations, including room and date selection.",Partially covered,1,0.5701040029525757
C,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a travel agent, I want to make hotel reservations, including room and date selection.",Not covered,0,0.5493059158325195
C,9,"- Organize city tour packages, including transportation and tour guides if necessary","As a travel agent, I want to organize tour packages in tourist cities, including transportation and tour guides if necessary.",Fully covered,1,0.8806440830230713
C,18,"Service Booking:
- Travel agents must be able to issue airline, land, and river tickets, make hotel reservations (including room selection and dates), and organize city tour packages as requested by clients","As a travel agent, I want to organize tour packages in tourist cities, including transportation and tour guides if necessary.",Partially covered,1,0.6311002969741821
C,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a travel agent, I want to organize tour packages in tourist cities, including transportation and tour guides if necessary.",Not covered,0,0.5828630924224854
C,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent, I want to organize tour packages in tourist cities, including transportation and tour guides if necessary.",Partially covered,1,0.578865647315979
C,17,"Travel Search and Suggestions:
- Travel agents must be able to search for and suggest travel options based on the client's preferences and budget, using criteria such as destinations, travel dates, and transportation types","As a travel agent, I want to organize tour packages in tourist cities, including transportation and tour guides if necessary.",Not covered,0,0.5627530813217163
C,5,"Actions:

Travel Agents:
- Register new clients and keep their information updated","As a travel agent, I want to register new customers and keep their information updated in the system.",Fully covered,1,0.8089587688446045
C,16,"Functional Requirements:

Client Registration:
- The system must allow travel agents to register new clients and keep their information updated, including personal data, travel preferences, and booking history","As a travel agent, I want to register new customers and keep their information updated in the system.",Fully covered,1,0.7683233022689819
C,3,"Users:
Travel Agents:
- Responsible for assisting customers, making reservations, issuing tickets and hotel vouchers, and organizing tours","As a travel agent, I want to register new customers and keep their information updated in the system.",Partially covered,1,0.6217710971832275
C,22,"Client-Agent Communication:
- The system must facilitate communication between clients and travel agents, allowing clients to ask questions, request modifications to their reservations, and receive assistance throughout the planning and travel process","As a travel agent, I want to register new customers and keep their information updated in the system.",Not covered,0,0.5990821123123169
C,15,- Communicate with travel agents to ask questions or request modifications,"As a travel agent, I want to register new customers and keep their information updated in the system.",Not covered,0,0.5989202857017517
C,17,"Travel Search and Suggestions:
- Travel agents must be able to search for and suggest travel options based on the client's preferences and budget, using criteria such as destinations, travel dates, and transportation types","As a travel agent, I want to search for and suggest travel options based on the customer's preferences and budget.",Partially covered,1,0.904180109500885
C,6,- Search for and suggest travel options based on the client's preferences and budget,"As a travel agent, I want to search for and suggest travel options based on the customer's preferences and budget.",Fully covered,1,0.9025018215179443
C,11,"Clients:
- Search for travel options, including tickets, hotels, and tourist activities","As a travel agent, I want to search for and suggest travel options based on the customer's preferences and budget.",Not covered,0,0.7316092252731323
