,Unnamed: 0,chunk_id,User Story,Chunk Text,Unnamed: 4,Score
273,2768,74,"As a fan, I want to be able to choose which game events I will be notified of, so that I do not get too many notifications for my liking.","Spk 2: Okay. Okay. Um,
Spk 0: All right coming to the system performances then, um uh a there was a line in the document that said that you want to increase the stakeholder communication or enhance the stakeholder communication. Is there's some gaps currently which is uh which is not making it a good communication system or something?
Spk 1: Yeah, because for the fans there is no direct communication in the fans. They have to, you know to initiate the fans, have to initiate the communication and not like we discussed before with the other notification mechanism. Uh this is one issue. Mm I think this is the main issue will be unable to the fans to register to specific information that they are interested in and then we push them the information. I think this is the main idea. Did this answer your question.",,1
396,2839,76,"As a fan, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 1: Yeah, because for the fans there is no direct communication in the fans. They have to, you know to initiate the fans, have to initiate the communication and not like we discussed before with the other notification mechanism. Uh this is one issue. Mm I think this is the main issue will be unable to the fans to register to specific information that they are interested in and then we push them the information. I think this is the main idea. Did this answer your question.
Spk 0: Yes, yes you did. Uh and also um for that to be to be system can we uh like if you like, and we incorporate some auto reminders, For example, your reporters do uh the as as we discussed that the team members also have to. The team manager has to support a submit a report to the IFA once a year. So some some kind of automatic reminder notification
Spk 1: Yeah yeah  for me, some kind of policy regulation in regards to the for the budget. Uh another issue, defend defend itself can itself can specify uh alerts, so for example, remind me five minutes before the game starts. Okay, So we're registered to the specific and you can, you know when it starts and then you can get an amplification as well.",,1
397,2099,56,"As a fan, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 1: So currently any information the fans would like nowadays, they need to pull the information. Yeah. You need to look for it. If you can change is the schedule. They need to look for it. Uh If a player post a message, you should look for it and things like that. Our view in the new systems, we would like the fan to get information from the system in a push mail. So for example, if he's interested in a, in a certain game Barcelona versus Real Madrid. Uh, so we would register to that game and you would get notifications, notifications regarding that game. For example, if the game of if the schedule is changed would get notification.
Spk 2: Okay.
Spk 1: I can also registered to one of its favourite players. For example, it would registered to Messi uh, page. And then uh, when Messi posts a message, you would get a notification from the system.",,1
401,2358,63,"As a fan, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 0: Subscribe to the notifications and Yeah, okay, so the fan portal will have say, let's say it will have three different sections. So first section is where the fan can follow the, follow the player or follow the team and get notifications. Second section can be uh the live update section where fans can also see what referees posting from our referee reporting what referees posting. And then also we can include the live score that is going on in the match. And the third section will have the overall tournament scores and the ranking of each team
Spk 1: So for each of the information that you currently mentioned, you can subscribe to it and then get notification. So for example, if it is registered to the game and the game was is already started and uh and then for example there is uh replacement of a player then when the referee is reporting it, you would get a notification. Okay. Okay.
Spk 0: All right. Um Fine. And uh the communications that we're talking about within a vial the budgeting by the reporting by the notifications. Uh So of course there will be app notifications. Uh Do we also need uh some email notifications or some direct messages?",,0
404,1470,39,"As a fan, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 1: The team doesn't have any say regarding the schedule.
Spk 2: And would you like them to have a say in the algorithm of the scheduling later on the system to be
Spk 1: No no no. Once you are scheduled for a season, it's done. Okay. It cannot be changed unless there's one um, it might be reduced to certain circumstances. The game is canceled. The weather, Uh, something happened within the city area and things like that. So in that sense, we need to reschedule the game. So in that sense, in that case we need to allow manual adjustment of the schedule.",,0
406,1544,41,"As a fan, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 1: No no no. Once you are scheduled for a season, it's done. Okay. It cannot be changed unless there's one um, it might be reduced to certain circumstances. The game is canceled. The weather, Uh, something happened within the city area and things like that. So in that sense, we need to reschedule the game. So in that sense, in that case we need to allow manual adjustment of the schedule.
Spk 2: Okay. Okay. And the system to be there would be a manual adjustment. Okay, sure.
Spk 1: Another case that could be, it might be that the yeah. When the system offers scheduling for the games throughout the year, the administration review it and see that there are problems. So we might override the results yet you need to explicate. You need to explain the rationale for the change. Again, you to transparency and bias issues you have to explicate. And then another IFA representative should confirm that change.",,0
528,697,18,"As a fan, I want to check statistics of different matches and statistics of different players, so that I can be more engaged in their respective league.","Spk 2: Okay I'm currently do you have, sorry
Spk 1: Go ahead.
Spk 2: Currently do you have any any way to aggregate this data? For example after the season? How many red cards each team got? How many goals each team scored. Do the teams have access to this kind of data through you now?",,0
529,2325,62,"As a fan, I want to check statistics of different matches and statistics of different players, so that I can be more engaged in their respective league.","Spk 1: Indeed. But they also can register to that. Okay, you will follow, you follow its like, register,
Spk 0: Subscribe to the notifications and Yeah, okay, so the fan portal will have say, let's say it will have three different sections. So first section is where the fan can follow the, follow the player or follow the team and get notifications. Second section can be uh the live update section where fans can also see what referees posting from our referee reporting what referees posting. And then also we can include the live score that is going on in the match. And the third section will have the overall tournament scores and the ranking of each team
Spk 1: So for each of the information that you currently mentioned, you can subscribe to it and then get notification. So for example, if it is registered to the game and the game was is already started and uh and then for example there is uh replacement of a player then when the referee is reporting it, you would get a notification. Okay. Okay.",,1
530,845,22,"As a fan, I want to check statistics of different matches and statistics of different players, so that I can be more engaged in their respective league.","Spk 2: and you can, you can export or you want to be able to export this data to like journalists or press or whatever. Okay. And this is not available now as far as I understand.
Spk 1: Indeed.
Spk 0: So the referee uh, data from referee is not at all confidential available very easily. Um there's one more reporting questions. So um is there any kind of reports that you receive or want to receive regarding? Say say I am a team manager. And do you want to report from me saying that I have a new player in my team or this player will be leaving my team? So if we played some tournaments, we had these many events and these many losses, something like that.",,0
532,734,19,"As a fan, I want to check statistics of different matches and statistics of different players, so that I can be more engaged in their respective league.","Spk 1: Go ahead.
Spk 2: Currently do you have any any way to aggregate this data? For example after the season? How many red cards each team got? How many goals each team scored. Do the teams have access to this kind of data through you now?
Spk 1: So everyone is able to see the entire data. Even a guest to the system is able to see the final grain data, which is okay. Everyone can do analysis of what did that whatever it like. one of the the goal of the system is to increase, sorry, transparency. So the idea is that this kind of data is revealed to everyone. Even if you are not registered to the system you should be able to look into such data, not the budget but the data that refer to the game, the results",,1
535,2658,71,"As a fan, I want to check statistics of different matches and statistics of different players, so that I can be more engaged in their respective league.","Spk 1: So the data that's collected nowadays that uh, for example, if we are watch again and we can have it update through the news portal, uh, and at this minute we got score, a goal. So this minute there was an offset and things like that. But this is not an official one. So there is, there is a mixture of data. Okay. In the new system only the referee, you can update this through the system. So it's, it's coherent and reliable.
Spk 2: Okay. So, so you need the system to enable the referees and the official channels to be the only source of channel uh, of data about the games.
Spk 1: Yeah. And the fans are of course exposed to it. So they don't need to look forward news portal. Just look into the system.",,1
660,633,17,"As a match official, I want to access the system on my phone, so that I can access it on the field or while I am traveling to the game.","Spk 1: Okay. So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA. The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game. Real time. So I would expect him to use his mobile phone to record the event in real time. It can be the main referee or the side referee or they can insert and only then can insert event of the of the game. Since we would like to have the other information as reliable as possible. So only the referee can update the event that the country during the game. This can be for example scoring a goal and offside uh red card uh player replacement and things like that. So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.
Spk 2: Okay I'm currently do you have, sorry
Spk 1: Go ahead.",,1
661,2668,72,"As a match official, I want to access the system on my phone, so that I can access it on the field or while I am traveling to the game.","Spk 2: Okay. So, so you need the system to enable the referees and the official channels to be the only source of channel uh, of data about the games.
Spk 1: Yeah. And the fans are of course exposed to it. So they don't need to look forward news portal. Just look into the system.
Spk 2: Okay. Okay. Um,",,0
662,2631,71,"As a match official, I want to access the system on my phone, so that I can access it on the field or while I am traveling to the game.","Spk 1: So the data that's collected nowadays that uh, for example, if we are watch again and we can have it update through the news portal, uh, and at this minute we got score, a goal. So this minute there was an offset and things like that. But this is not an official one. So there is, there is a mixture of data. Okay. In the new system only the referee, you can update this through the system. So it's, it's coherent and reliable.
Spk 2: Okay. So, so you need the system to enable the referees and the official channels to be the only source of channel uh, of data about the games.
Spk 1: Yeah. And the fans are of course exposed to it. So they don't need to look forward news portal. Just look into the system.",,0
664,559,15,"As a match official, I want to access the system on my phone, so that I can access it on the field or while I am traveling to the game.","Spk 1: Which reports you're referring to?
Spk 2: Like other than the budgeting and the financials. Do you receive reports on the games themselves? What's happening with the scheduling? What? Yeah.
Spk 1: Okay. So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA. The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game. Real time. So I would expect him to use his mobile phone to record the event in real time. It can be the main referee or the side referee or they can insert and only then can insert event of the of the game. Since we would like to have the other information as reliable as possible. So only the referee can update the event that the country during the game. This can be for example scoring a goal and offside uh red card uh player replacement and things like that. So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.",,1
666,2372,64,"As a match official, I want to access the system on my phone, so that I can access it on the field or while I am traveling to the game.","Spk 1: So for each of the information that you currently mentioned, you can subscribe to it and then get notification. So for example, if it is registered to the game and the game was is already started and uh and then for example there is uh replacement of a player then when the referee is reporting it, you would get a notification. Okay. Okay.
Spk 0: All right. Um Fine. And uh the communications that we're talking about within a vial the budgeting by the reporting by the notifications. Uh So of course there will be app notifications. Uh Do we also need uh some email notifications or some direct messages?
Spk 1: No. No. I'll prefer that everything would be in the application of the website. I assume that the teams, for example, and uh on the IFA administrative would work with computers in kind of a web based application. The referee and the fans will probably have the app uh mobile applications so they can work with more easily.",,1
792,2840,76,"As a match official, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 1: Yeah, because for the fans there is no direct communication in the fans. They have to, you know to initiate the fans, have to initiate the communication and not like we discussed before with the other notification mechanism. Uh this is one issue. Mm I think this is the main issue will be unable to the fans to register to specific information that they are interested in and then we push them the information. I think this is the main idea. Did this answer your question.
Spk 0: Yes, yes you did. Uh and also um for that to be to be system can we uh like if you like, and we incorporate some auto reminders, For example, your reporters do uh the as as we discussed that the team members also have to. The team manager has to support a submit a report to the IFA once a year. So some some kind of automatic reminder notification
Spk 1: Yeah yeah  for me, some kind of policy regulation in regards to the for the budget. Uh another issue, defend defend itself can itself can specify uh alerts, so for example, remind me five minutes before the game starts. Okay, So we're registered to the specific and you can, you know when it starts and then you can get an amplification as well.",,0
793,2322,62,"As a match official, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 1: Indeed. But they also can register to that. Okay, you will follow, you follow its like, register,
Spk 0: Subscribe to the notifications and Yeah, okay, so the fan portal will have say, let's say it will have three different sections. So first section is where the fan can follow the, follow the player or follow the team and get notifications. Second section can be uh the live update section where fans can also see what referees posting from our referee reporting what referees posting. And then also we can include the live score that is going on in the match. And the third section will have the overall tournament scores and the ranking of each team
Spk 1: So for each of the information that you currently mentioned, you can subscribe to it and then get notification. So for example, if it is registered to the game and the game was is already started and uh and then for example there is uh replacement of a player then when the referee is reporting it, you would get a notification. Okay. Okay.",,0
795,2100,56,"As a match official, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 1: So currently any information the fans would like nowadays, they need to pull the information. Yeah. You need to look for it. If you can change is the schedule. They need to look for it. Uh If a player post a message, you should look for it and things like that. Our view in the new systems, we would like the fan to get information from the system in a push mail. So for example, if he's interested in a, in a certain game Barcelona versus Real Madrid. Uh, so we would register to that game and you would get notifications, notifications regarding that game. For example, if the game of if the schedule is changed would get notification.
Spk 2: Okay.
Spk 1: I can also registered to one of its favourite players. For example, it would registered to Messi uh, page. And then uh, when Messi posts a message, you would get a notification from the system.",,0
796,1138,30,"As a match official, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 0: Okay uh Yes. Uh Okay. We understand now what the requirements are with the reporting and the budget section. Uh Moving on to scheduling. Uh How do you schedule the matches now? Like how often do you plan a tournament? And how do you schedule the matches between teams?
Spk 1: Okay. So currently for each uh league in each season season meaning year, uh, there is a manual scheduling once a year. Okay. It's done manually, uh, maybe without taking into um consideration many constraints. Okay. Uh, so what I would like the system to have, is to have the ability to define policy of how to schedule games. For example, a common policy is that each game, it's uh, a pair of teams they too can sale, once in the in team A stadium and once in team B stadium, this is a common practice. So there was a need to determine the this kind of policy. Maybe we'll like to have a minimal uh, time between matches among the same pair. Uh, maybe it would like to say, uh set the date for uh, the day in the week in which the competition will take place, and many other things that regarding that policy. So this kind of constraints should be taken into account when executing the the scheduling algorithm.
Spk 2: Okay. Okay. And uh and how how would the referees take in this scheduling now? How how does it work now? I mean which referee is is assigned to which game?",,0
797,1952,52,"As a match official, I want to be notified as soon as possible about important schedule changes like a delayed kick-off, so that I can plan accordingly.","Spk 0: Yeah. Okay. So you mentioned this in your own uh in the software like this is how you should schedule.
Spk 1: uh policy you have at least uh you have the number of teams multiplied by two days where the next match
Spk 2: And you need to be to be able to define these parameters into the system to be built. Right.",,0
924,1130,30,"As a match official, I want to have my preferred time slots, dates and locations for officiating games taken into consideration when making my schedule, so that I will not have to work at a time that is inconvenient for me.","Spk 0: Okay uh Yes. Uh Okay. We understand now what the requirements are with the reporting and the budget section. Uh Moving on to scheduling. Uh How do you schedule the matches now? Like how often do you plan a tournament? And how do you schedule the matches between teams?
Spk 1: Okay. So currently for each uh league in each season season meaning year, uh, there is a manual scheduling once a year. Okay. It's done manually, uh, maybe without taking into um consideration many constraints. Okay. Uh, so what I would like the system to have, is to have the ability to define policy of how to schedule games. For example, a common policy is that each game, it's uh, a pair of teams they too can sale, once in the in team A stadium and once in team B stadium, this is a common practice. So there was a need to determine the this kind of policy. Maybe we'll like to have a minimal uh, time between matches among the same pair. Uh, maybe it would like to say, uh set the date for uh, the day in the week in which the competition will take place, and many other things that regarding that policy. So this kind of constraints should be taken into account when executing the the scheduling algorithm.
Spk 2: Okay. Okay. And uh and how how would the referees take in this scheduling now? How how does it work now? I mean which referee is is assigned to which game?",,0
927,1241,33,"As a match official, I want to have my preferred time slots, dates and locations for officiating games taken into consideration when making my schedule, so that I will not have to work at a time that is inconvenient for me.","Spk 1: Okay. So in my view, the currently this is done also manually. The administer calls the referee. Can you uh can you participate in that game? And that's how the scheduling is happening and the enforcement of this policy, again, it's done manually. So for uh for the referee as well, the system should be uh should have some kind of uh guidance of how to allocate referees to games. For example, we wouldn't like the same refereee to participate in the game and two games of the same teams. Okay. Okay. Uh this yeah, for another example is that we would like to all referees to participate in the same number of games.
Spk 2: Okay,
Spk 1: So I would like the system to be able to uh facilitate the definition of such policy and then based on that policy to assign the referee to the games, it might be also that the system will enable the referees to install their preferences. Okay. For example, since I planned already my vacation for the next year, I cannot participate in these days. So when scheduling it will take these constraints as well.",,1
929,1833,49,"As a match official, I want to have my preferred time slots, dates and locations for officiating games taken into consideration when making my schedule, so that I will not have to work at a time that is inconvenient for me.","Spk 2: Okay. Okay. We talked about the teams and the referees. I think we need to move to the fans.
Spk 0: Just I have one more question. Sorry. About the scheduling. Uh Is that a number of days gap for example I am team A and he's team B. And uh suppose we played a match together. Now we have a minimum we should have two days of gap before playing the next game or one day of gap before playing the next game.
Spk 1: That will be part of the policy of the scheduling.",,0
931,1907,51,"As a match official, I want to have my preferred time slots, dates and locations for officiating games taken into consideration when making my schedule, so that I will not have to work at a time that is inconvenient for me.","Spk 1: That will be part of the policy of the scheduling.
Spk 0: Yeah. Okay. So you mentioned this in your own uh in the software like this is how you should schedule.
Spk 1: uh policy you have at least uh you have the number of teams multiplied by two days where the next match",,0
932,612,16,"As a match official, I want to have my preferred time slots, dates and locations for officiating games taken into consideration when making my schedule, so that I will not have to work at a time that is inconvenient for me.","Spk 2: Like other than the budgeting and the financials. Do you receive reports on the games themselves? What's happening with the scheduling? What? Yeah.
Spk 1: Okay. So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA. The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game. Real time. So I would expect him to use his mobile phone to record the event in real time. It can be the main referee or the side referee or they can insert and only then can insert event of the of the game. Since we would like to have the other information as reliable as possible. So only the referee can update the event that the country during the game. This can be for example scoring a goal and offside uh red card uh player replacement and things like that. So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.
Spk 2: Okay I'm currently do you have, sorry",,0
1056,588,15,"As a match official, I want to report on match events live during the match, so that I do not have to register events twice.","Spk 1: Which reports you're referring to?
Spk 2: Like other than the budgeting and the financials. Do you receive reports on the games themselves? What's happening with the scheduling? What? Yeah.
Spk 1: Okay. So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA. The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game. Real time. So I would expect him to use his mobile phone to record the event in real time. It can be the main referee or the side referee or they can insert and only then can insert event of the of the game. Since we would like to have the other information as reliable as possible. So only the referee can update the event that the country during the game. This can be for example scoring a goal and offside uh red card uh player replacement and things like that. So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.",,1
1058,2327,62,"As a match official, I want to report on match events live during the match, so that I do not have to register events twice.","Spk 1: Indeed. But they also can register to that. Okay, you will follow, you follow its like, register,
Spk 0: Subscribe to the notifications and Yeah, okay, so the fan portal will have say, let's say it will have three different sections. So first section is where the fan can follow the, follow the player or follow the team and get notifications. Second section can be uh the live update section where fans can also see what referees posting from our referee reporting what referees posting. And then also we can include the live score that is going on in the match. And the third section will have the overall tournament scores and the ranking of each team
Spk 1: So for each of the information that you currently mentioned, you can subscribe to it and then get notification. So for example, if it is registered to the game and the game was is already started and uh and then for example there is uh replacement of a player then when the referee is reporting it, you would get a notification. Okay. Okay.",,1
1060,847,22,"As a match official, I want to report on match events live during the match, so that I do not have to register events twice.","Spk 2: and you can, you can export or you want to be able to export this data to like journalists or press or whatever. Okay. And this is not available now as far as I understand.
Spk 1: Indeed.
Spk 0: So the referee uh, data from referee is not at all confidential available very easily. Um there's one more reporting questions. So um is there any kind of reports that you receive or want to receive regarding? Say say I am a team manager. And do you want to report from me saying that I have a new player in my team or this player will be leaving my team? So if we played some tournaments, we had these many events and these many losses, something like that.",,0
1062,3067,82,"As a match official, I want to report on match events live during the match, so that I do not have to register events twice.","Spk 1: No no no just the referee in the middle of the system and receive its response uh In a immediate immediately. That's the that's the main contract in real time updates of the referee.
Spk 0: Most little bit actual of course. But do we need a live recording feature or something like your recording feature
Spk 2: from the side referee?",,1
1064,2660,71,"As a match official, I want to report on match events live during the match, so that I do not have to register events twice.","Spk 1: So the data that's collected nowadays that uh, for example, if we are watch again and we can have it update through the news portal, uh, and at this minute we got score, a goal. So this minute there was an offset and things like that. But this is not an official one. So there is, there is a mixture of data. Okay. In the new system only the referee, you can update this through the system. So it's, it's coherent and reliable.
Spk 2: Okay. So, so you need the system to enable the referees and the official channels to be the only source of channel uh, of data about the games.
Spk 1: Yeah. And the fans are of course exposed to it. So they don't need to look forward news portal. Just look into the system.",,1
1188,3188,86,"As a team manager, I want to be able to access the system from a desktop, so that I make fewer mistakes when managing my assets.","Spk 2: Okay. Um What what what level of involvement involvement do you expect your in house IT Team to have in the system and what level of and what do you want to outsource or or delegate to other campaigns?
Spk 1: So basically the IFA is not a software company. We were moving like uh to a uh to develop a maintenance system. So what we are looking for is a kind of outsourcing the entire development and maintenance. The communication between the software development and the IFA will be tasked through the information there IT Department. But the idea is that the uh IT department will out of the activity and the real development and we were essentially as the client for the company.
Spk 2: Okay. And also the after the system is up and running all the storage the computing everything should be handled by an external company sources around the cloud service or some kind of service in the uh Okay. Uh I I know it's a it's a very general question, but is there any legal or financial restrictions on the system to have, like there any data that's too confidential to store uh off sites or anything like this?",,0
